Gene	occurrence	OncoKB	Oncogene	TSG
SMC3	9126	3	Yes	No	Yes
SMG1	23049	2	Yes	No	Yes
SMO	6608	7	Yes	Yes	No
SMYD3	64754	3	Yes	Yes	No
SOCS1	8651	7	Yes	No	Yes
SOCS3	9021	2	Yes	No	Yes
SOS1	6654	3	Yes	Yes	No
SOX17	64321	3	Yes	No	Yes
SOX2	6657	6	Yes	Yes	No
SOX9	6662	5	Yes	Yes	Yes
SP140	11262	2	Yes	No	Yes
SPEN	23013	6	Yes	No	Yes
SPOP	8405	7	Yes	No	Yes
SPRED1	161742	3	Yes	No	Yes
SPRTN	83932	2	Yes	No	Yes
SQSTM1	8878	1	Yes	Yes	No
SRC	6714	6	Yes	Yes	No
SRSF2	6427	6	Yes	No	No
SS18	6760	3	Yes	Yes	No
STAG1	10274	2	Yes	No	Yes
STAG2	10735	7	Yes	No	Yes
STAT1	6772	1	Yes	No	No
STAT2	6773	1	Yes	No	No
STAT3	6774	6	Yes	Yes	No
STAT5A	6776	4	Yes	Yes	No
STAT5B	6777	5	Yes	Yes	No
STAT6	6778	4	Yes	Yes	No
STK11	6794	7	Yes	No	Yes
STK19	8859	3	Yes	Yes	No
STK40	83931	3	Yes	No	No
SUFU	51684	6	Yes	No	Yes
SUZ12	23512	5	Yes	No	Yes
SYK	6850	6	Yes	Yes	No
TAL1	6886	3	Yes	Yes	No
TAP1	6890	3	Yes	No	No
TAP2	6891	3	Yes	No	No
TBL1XR1	79718	4	Yes	No	Yes
TBX3	6926	5	Yes	No	Yes
TCF3	6929	5	Yes	No	Yes
TCF7L2	6934	4	Yes	No	Yes
TCL1A	8115	3	Yes	Yes	No
TCL1B	9623	1	Yes	Yes	No
TEK	7010	4	Yes	No	No
TENT5C	54855	6	Yes	No	Yes
TERT	7015	5	Yes	Yes	No
TET1	80312	5	Yes	No	Yes
TET2	54790	7	Yes	No	Yes
TET3	200424	2	Yes	No	Yes
TFE3	7030	3	Yes	Yes	No
TGFBR1	7046	3	Yes	No	Yes
TGFBR2	7048	6	Yes	No	Yes
TLE1	7088	1	Yes	No	No
TLE2	7089	1	Yes	No	No
TLE3	7090	1	Yes	No	No
TLE4	7091	1	Yes	No	No
TLX1	3195	3	Yes	Yes	No
TLX3	30012	3	Yes	Yes	No
TMEM127	55654	4	Yes	No	Yes
TMPRSS2	7113	6	Yes	No	No
TNFAIP3	7128	7	Yes	No	Yes
TNFRSF14	8764	6	Yes	No	Yes
TOP1	7150	5	Yes	No	Yes
TP53	7157	7	Yes	No	Yes
TP53BP1	7158	3	Yes	No	Yes
TP63	8626	5	Yes	Yes	Yes
TRA	6955	2	Yes	Yes	No
TRAF2	7186	4	Yes	No	No
